amfi_code,sector_hhi,scheme_name,fund_house
119092,2064.4766999999997,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
101207,2007.0043,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF
119599,1747.5096,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
102885,1747.0902,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund
118632,1682.982,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF
148568,1679.2973,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF
120505,1575.7036,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF
120506,1537.936,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF
125498,1524.1398,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund
120841,1496.8035,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
148569,1493.9642000000001,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF
100033,1475.9226,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund
149323,1416.2096,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund
120503,1408.7026,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF
100016,1395.3385999999998,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
148567,1385.8417,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF
125497,1365.8554,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund
119094,1364.0591,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund
118635,1359.4415,Nippon India ETF Nifty 50 BeES,Nippon India MF
149322,1343.9796999999999,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund
119093,1308.9424000000001,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
102887,1298.0495,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
101206,1293.3173000000002,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF
120843,1286.8306,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF
120842,1274.3881,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
118633,1214.6086,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
119551,1187.1552,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund
149324,1186.771,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund
102886,1146.9283999999998,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
119095,1096.0535,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
120504,1086.7415,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF
118634,1083.5772,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF
119552,1080.1068999999998,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund
119598,1073.4895000000001,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund
