amfi_code,scheme_name,fund_house,category,Alpha,Beta,R_squared,Tracking_Error,Regression_Observations
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,0.03940725023233633,0.03648728431773967,0.0012900579520289928,0.19645133864715728,1073
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,0.046871134653306265,-0.008821762725762928,0.0010426373524325975,0.14312936177000038,1073
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,0.2527783931607218,0.0056060590677469106,1.79440123518906e-05,0.2262717181497536,1073
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,0.19842738138380495,0.022519910525152186,0.0004840301621932857,0.19290571277059762,1073
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,0.0885342291118372,0.06299944558552746,0.0012421770797017785,0.28627511185428334,1073
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,0.06092163110595347,-0.0004973963666171933,0.00019692786333249388,0.13595138711305474,1073
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,0.16148219625419835,0.005008378304336268,3.0999780635471066e-05,0.19005173238818082,1073
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,0.014987784094064763,0.020113037781286935,0.00025210677052700764,0.22093682590147143,1073
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,0.12763193766967693,0.021610998913301635,0.0003867275072621397,0.20985142138133403,1073
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,0.2060309306429927,0.01872593471983499,0.00035683827259993584,0.19015267081595214,1073
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,0.16765036618121051,-0.013330695410496474,0.00018196360409500453,0.2009092307104606,1073
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,0.17515697192808533,-0.03145263268584393,0.00031305821305803574,0.2866679179554151,1073
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,0.11105530102215272,0.012645598926999149,0.00019129766199423641,0.18423817144652177,1073
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,0.06456285212600585,-0.01033331344203922,0.0014102156071078933,0.14356912687408946,1073
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,0.03308906679187477,-0.027485610845652382,0.0008153784028088912,0.1915186745275266,1073
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,0.08074677186393747,0.018318227895833334,0.00034428865834636976,0.19435904369996843,1073
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,0.23083498131698438,-0.018322384915637795,0.00018181978730654483,0.24114963320838131,1073
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,0.07878238723804235,0.04582686222390912,0.000685937387416004,0.2810399211800043,1073
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,0.0570522079797004,0.0056309881210469485,0.00040996551955363604,0.1393507458926735,1073
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.2052319847763946,0.020347909439235583,0.0004513005019626539,0.19520680547520516,1073
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.1861590363427286,0.02620179169165638,0.0007080703144009601,0.19153276608045644,1073
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.3105838471445116,-0.05572477519933954,0.0010110273428701314,0.291517305519042,1073
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.042679982020814126,0.043773085737081774,0.0006253703395352588,0.2766888778105457,1073
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,0.19015450090206398,0.008462385879668065,7.596710790539285e-05,0.1928278085694437,1073
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.2042857064237771,-0.002821482758735928,8.023732802316087e-06,0.1978758352162675,1073
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,0.28443166938863274,0.045521968830752685,0.0011290465539106722,0.23125473999421742,1073
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,0.16598513265626624,0.004643030170033722,1.903721490593105e-05,0.20711355580823057,1073
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,0.06760199865613882,-0.00142947974478992,0.0017262697265482134,0.13610043997901233,1073
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.06311978072767352,0.03564035096540483,0.001442499130965892,0.17909448310959503,1073
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.03692798332367637,-0.06878050470227927,0.0030661464268596076,0.22548653736317056,1073
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.21862355035521625,-0.02974987357140678,0.0007065454232702842,0.20634908557822537,1073
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,0.06411668430685011,0.0008110929344949408,0.0005036889017113748,0.13567156758839471,1073
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,0.1731787077334344,0.01981595834693809,0.0003755665493284919,0.19830294435563148,1073
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,0.10882328243852316,-0.00013700940138985365,1.128768858320223e-08,0.22818378662395164,1073
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,0.2589159982189506,0.02090713949946563,0.0004373232899429842,0.19475713509780684,1073
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,0.22481220081998013,0.004111256554596869,1.4609812241170661e-05,0.20757362290533382,1073
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,0.2803680794446551,-0.011180909844463599,8.04687829945419e-05,0.22249627382949713,1073
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,0.12462433117111894,0.024671389114036036,0.0005977816901556869,0.19462696860023102,1073
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.2659863259119087,-0.016011964466757456,0.00016635745615699657,0.2228523115145428,1073
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.31665553749556075,-0.036445135761599745,0.00043037197707528475,0.2880413953121725,1073
