Score_Rank,amfi_code,scheme_name,fund_house,category,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe_Ratio,Sortino_Ratio,Alpha,Beta,Max_Drawdown,expense_ratio_pct,Tracking_Error,Fund_Score
1,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,0.29627681171526876,0.3176924285223732,,1.1905585963067509,2.047335934410806,0.28443166938863274,0.045521968830752685,-0.18188513572116294,1.36,0.23125473999421742,84.5
2,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,0.22277897154308546,0.35102527889035406,,1.008625789131447,1.7215395040309869,0.23083498131698438,-0.018322384915637795,-0.20960883862039192,1.38,0.24114963320838131,81.25
3,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,0.2037595706234765,0.33991970400445304,,1.46250402900308,2.409055982185162,0.2589159982189506,0.02090713949946563,-0.11265729075028275,1.46,0.19475713509780684,80.5
4,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,0.5327719549540499,0.3243397122906222,,1.1043517629506803,1.8469503846584172,0.2527783931607218,0.0056060590677469106,-0.16217208574644848,1.38,0.2262717181497536,80.0
5,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.2667758391882715,0.2957511058901836,,1.3194419817117222,2.3872948193012524,0.21862355035521625,-0.02974987357140678,-0.1297396816518679,1.45,0.20634908557822537,75.75
6,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.13073788394478303,0.32478927222623,,1.0405688566490552,1.8299932374310812,0.2042857064237771,-0.002821482758735928,-0.12588275606922517,0.8,0.1978758352162675,75.75
7,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.6519546577826334,0.2699350260734621,,0.9579170598994395,1.633643228346097,0.31665553749556075,-0.036445135761599745,-0.31171900300634214,1.52,0.2880413953121725,75.4375
8,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.8285157468100046,0.2666309129954312,,0.9533324621776287,1.6895374158843341,0.3105838471445116,-0.05572477519933954,-0.2870600572176455,1.43,0.291517305519042,74.625
9,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,0.3978380253854239,0.2917135767741186,,1.2463441409620546,2.1667572553946624,0.2803680794446551,-0.011180909844463599,-0.1639674294693263,1.6,0.22249627382949713,73.9375
10,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.6048929711840034,0.3044861306002782,,1.222947214685128,2.166271744040442,0.2052319847763946,0.020347909439235583,-0.1501238549864533,1.54,0.19520680547520516,72.0625
